직무,경력,지역,회사규모,재택비율,기술_개수,연봉
영업 지원,경력,경기,M,0,2,4428
고객상담 CS,경력,경기,M,0,3,3458
UI/UX 디자이너,신입,서울,S,50,1,3618
데이터 엔지니어,경력,서울,M,50,3,7922
백엔드 개발자,경력,대구,L,0,3,6813
영업 지원,경력,서울,M,0,1,3967
데이터 분석가,신입,서울,S,50,4,4160
인사 총무,경력,경기,L,0,3,4186
백엔드 개발자,경력,서울,M,50,2,6053
백엔드 개발자,신입,경기,S,0,2,5088
경리 회계,신입,경기,S,0,2,2000
UI/UX 디자이너,신입,경기,M,100,1,4057
데이터 엔지니어,경력,대구,L,0,3,8834
UI/UX 디자이너,경력,서울,M,50,2,7138
백엔드 개발자,신입,부산,S,0,3,2389
데이터 분석가,경력,경기,M,0,3,6275
UI/UX 디자이너,경력,경기,M,0,1,5633
경리 회계,경력,서울,M,50,2,4202
퍼포먼스 마케터,경력,서울,S,100,3,5828
데이터 분석가,신입,서울,S,50,4,4649
백엔드 개발자,경력,서울,M,50,5,6462
일반사무,경력,서울,M,50,1,3233
데이터 분석가,경력,경기,S,50,3,7432
일반사무,경력,서울,S,0,2,2784
데이터 분석가,경력,부산,L,50,3,7895
영업 지원,경력,서울,S,0,2,3907
데이터 엔지니어,신입,서울,S,50,2,2133
데이터 엔지니어,경력,서울,L,50,5,11612
UI/UX 디자이너,경력,경기,S,100,3,6550
데이터 분석가,경력,대구,M,100,3,7304
백엔드 개발자,경력,인천,M,0,3,7867
고객상담 CS,경력,서울,S,50,1,2850
일반사무,신입,서울,M,50,2,2252
UI/UX 디자이너,경력,경기,S,50,1,5942
인사 총무,신입,서울,L,100,2,2197
프론트엔드 개발자,신입,인천,S,0,5,3958
백엔드 개발자,경력,인천,M,100,3,5604
고객상담 CS,경력,서울,L,50,2,4740
데이터 분석가,신입,서울,S,0,4,3858
경리 회계,신입,서울,S,0,3,2000
UI/UX 디자이너,경력,서울,M,100,3,6296
데이터 분석가,경력,경기,L,50,5,10290
경리 회계,경력,서울,M,50,2,2908
데이터 분석가,신입,경기,L,50,4,3659
프론트엔드 개발자,신입,경기,M,0,5,2794
데이터 엔지니어,경력,대구,S,50,3,5901
일반사무,신입,경기,L,50,2,2322
데이터 엔지니어,경력,서울,M,50,5,7060
일반사무,경력,경기,S,100,3,3277
UI/UX 디자이너,경력,서울,S,50,2,6696
UI/UX 디자이너,경력,경기,M,50,2,5444
일반사무,경력,서울,L,100,2,4984
고객상담 CS,경력,서울,M,50,1,3794
인사 총무,경력,부산,M,50,1,3269
데이터 엔지니어,경력,서울,S,0,3,6026
영업 지원,경력,서울,S,0,3,4502
백엔드 개발자,신입,경기,S,100,4,2000
퍼포먼스 마케터,신입,서울,M,100,2,3310
퍼포먼스 마케터,경력,서울,L,0,1,4712
데이터 엔지니어,경력,대구,L,50,4,8363
데이터 엔지니어,경력,인천,M,0,4,7638
데이터 분석가,경력,서울,M,50,2,7620
백엔드 개발자,경력,서울,M,50,2,6856
데이터 엔지니어,경력,부산,S,50,3,5842
데이터 분석가,경력,경기,M,50,2,7310
프론트엔드 개발자,경력,서울,L,100,5,9647
일반사무,경력,서울,M,50,2,3671
UI/UX 디자이너,신입,경기,S,50,2,4406
데이터 엔지니어,경력,서울,S,50,3,9189
데이터 분석가,경력,경기,S,100,5,3337
데이터 분석가,경력,서울,M,0,3,6514
백엔드 개발자,경력,서울,L,100,2,10489
UI/UX 디자이너,경력,부산,M,0,1,6236
프론트엔드 개발자,신입,경기,S,0,2,4164
백엔드 개발자,경력,서울,S,50,5,5738
데이터 엔지니어,경력,서울,M,50,4,8511
데이터 분석가,경력,경기,S,100,2,7282
데이터 엔지니어,경력,서울,M,50,5,9468
데이터 엔지니어,신입,서울,L,0,3,7188
퍼포먼스 마케터,신입,서울,S,100,1,2649
일반사무,경력,서울,S,100,2,2998
데이터 분석가,신입,서울,L,100,5,5932
UI/UX 디자이너,경력,울산,S,50,1,5175
백엔드 개발자,경력,서울,M,0,2,9390
백엔드 개발자,경력,서울,M,100,2,8821
데이터 엔지니어,경력,서울,S,0,2,7596
데이터 분석가,신입,서울,M,50,3,5270
데이터 분석가,경력,서울,S,50,3,9391
데이터 분석가,경력,서울,L,0,3,10313
인사 총무,신입,광주,S,50,3,2656
데이터 분석가,경력,인천,S,100,3,6383
UI/UX 디자이너,경력,서울,S,100,2,5475
고객상담 CS,경력,서울,M,0,3,3234
데이터 엔지니어,신입,인천,S,50,2,4232
고객상담 CS,신입,경기,M,100,2,2000
데이터 분석가,경력,서울,M,50,3,8502
데이터 분석가,경력,서울,M,0,3,6807
UI/UX 디자이너,신입,부산,M,50,1,4868
프론트엔드 개발자,신입,서울,M,0,3,3333
UI/UX 디자이너,경력,부산,M,50,2,5263
인사 총무,신입,경기,M,0,2,2000
데이터 분석가,경력,경기,M,50,4,6897
고객상담 CS,경력,대전,S,0,1,2978
백엔드 개발자,경력,경기,M,50,4,7164
일반사무,경력,서울,S,50,3,2550
데이터 분석가,경력,경기,L,100,2,8448
영업 지원,경력,경기,S,100,2,3309
데이터 엔지니어,경력,경기,S,0,4,9042
백엔드 개발자,신입,서울,S,0,4,4503
백엔드 개발자,경력,서울,S,50,3,6144
고객상담 CS,경력,서울,L,50,2,3666
일반사무,신입,서울,M,0,3,2293
데이터 엔지니어,신입,서울,M,100,4,6239
데이터 분석가,신입,서울,S,100,3,5146
영업 지원,신입,서울,L,100,2,3734
고객상담 CS,경력,서울,M,0,2,3070
퍼포먼스 마케터,경력,서울,M,100,3,5299
데이터 분석가,신입,서울,M,0,4,6273
퍼포먼스 마케터,경력,광주,S,50,2,5502
데이터 분석가,경력,울산,S,50,2,5135
백엔드 개발자,경력,서울,S,50,4,5188
프론트엔드 개발자,경력,서울,M,100,5,6775
백엔드 개발자,신입,서울,L,0,4,5351
데이터 엔지니어,신입,서울,S,0,2,5483
백엔드 개발자,신입,서울,M,50,2,4380
퍼포먼스 마케터,신입,서울,S,100,1,3164
인사 총무,경력,경기,M,50,1,3496
백엔드 개발자,경력,서울,M,0,5,7001
데이터 엔지니어,신입,서울,S,0,3,3756
데이터 분석가,신입,경기,M,0,5,4623
영업 지원,경력,서울,M,50,3,4717
UI/UX 디자이너,경력,경기,S,0,2,4342
데이터 분석가,신입,서울,M,100,5,5670
경리 회계,신입,경기,M,50,3,2000
데이터 엔지니어,경력,서울,S,0,5,7029
백엔드 개발자,신입,대전,M,50,3,4826
프론트엔드 개발자,경력,경기,S,0,2,5003
백엔드 개발자,경력,부산,L,0,2,6599
경리 회계,경력,서울,S,100,3,2828
인사 총무,경력,서울,S,0,3,2938
데이터 분석가,경력,인천,L,50,5,11273
데이터 엔지니어,경력,서울,S,0,4,8608
데이터 엔지니어,경력,경기,S,0,2,7791
고객상담 CS,신입,경기,M,0,3,2718
UI/UX 디자이너,경력,서울,S,50,2,6551
백엔드 개발자,경력,경기,M,100,4,8512
데이터 분석가,경력,서울,M,50,4,7745
백엔드 개발자,경력,서울,S,100,5,6064
UI/UX 디자이너,경력,경기,S,0,2,7158
백엔드 개발자,경력,경기,M,0,4,7872
일반사무,신입,서울,L,0,3,3768
데이터 분석가,경력,인천,S,100,5,6801
백엔드 개발자,경력,서울,M,50,2,8785
데이터 엔지니어,경력,서울,L,50,5,9566
데이터 분석가,경력,서울,S,0,5,6998
UI/UX 디자이너,신입,서울,M,50,3,4082
프론트엔드 개발자,경력,서울,M,50,5,5945
고객상담 CS,경력,부산,S,0,3,2630
데이터 분석가,경력,경기,L,0,2,6812
일반사무,경력,경기,S,50,2,2240
일반사무,경력,서울,L,50,3,3926
경리 회계,경력,서울,S,0,2,2659
데이터 분석가,경력,서울,M,50,2,7035
UI/UX 디자이너,경력,서울,S,50,3,5222
프론트엔드 개발자,경력,경기,M,50,4,6139
UI/UX 디자이너,신입,서울,M,50,2,3968
영업 지원,경력,인천,S,100,3,4080
프론트엔드 개발자,신입,대구,S,0,5,2935
경리 회계,경력,경기,S,0,1,2970
퍼포먼스 마케터,경력,경기,M,0,2,6023
데이터 분석가,경력,서울,M,100,3,8536
UI/UX 디자이너,신입,서울,L,0,1,2532
UI/UX 디자이너,신입,서울,M,0,1,3297
퍼포먼스 마케터,경력,광주,M,0,1,5076
UI/UX 디자이너,경력,서울,M,100,1,7945
영업 지원,신입,경기,S,0,1,2534
데이터 분석가,경력,부산,M,50,3,5245
프론트엔드 개발자,신입,서울,M,0,3,4728
프론트엔드 개발자,경력,서울,S,100,4,7251
데이터 엔지니어,경력,서울,S,50,3,7047
UI/UX 디자이너,경력,서울,M,50,1,9055
경리 회계,경력,대전,L,100,1,4318
데이터 분석가,경력,경기,M,50,5,8816
프론트엔드 개발자,경력,서울,M,100,5,6087
영업 지원,신입,인천,S,50,2,2017
프론트엔드 개발자,경력,경기,S,0,2,7069
일반사무,신입,경기,M,0,1,2555
UI/UX 디자이너,신입,서울,S,100,3,5337
백엔드 개발자,신입,인천,L,50,4,5572
데이터 분석가,경력,서울,M,50,2,8882
백엔드 개발자,신입,광주,M,50,4,4821
백엔드 개발자,경력,서울,M,50,5,4506
데이터 분석가,경력,경기,M,0,4,6742
백엔드 개발자,경력,경기,M,0,3,6823
데이터 엔지니어,신입,경기,M,0,5,6355
데이터 엔지니어,신입,서울,M,50,2,6452
UI/UX 디자이너,경력,경기,M,50,1,6958
데이터 분석가,경력,경기,L,0,3,10422
프론트엔드 개발자,경력,경기,S,50,5,7315
인사 총무,경력,서울,S,0,1,3892
퍼포먼스 마케터,경력,경기,S,100,1,5155
데이터 분석가,경력,서울,S,0,5,7112
경리 회계,경력,서울,M,50,3,3213
인사 총무,신입,서울,M,0,2,3232
백엔드 개발자,경력,서울,L,100,3,11169
경리 회계,신입,인천,M,0,3,3158
데이터 엔지니어,경력,부산,M,50,2,6916
데이터 분석가,경력,경기,M,50,3,8195
데이터 분석가,경력,서울,L,100,4,9554
데이터 분석가,신입,경기,L,50,2,6087
데이터 엔지니어,경력,경기,M,50,2,6836
데이터 분석가,경력,서울,M,100,5,9745
데이터 엔지니어,경력,인천,M,50,3,8307
데이터 분석가,경력,경기,L,0,5,9825
데이터 엔지니어,신입,대전,M,100,3,5432
백엔드 개발자,경력,대전,M,100,3,6315
데이터 엔지니어,경력,서울,L,100,5,10214
퍼포먼스 마케터,경력,인천,M,50,3,4838
데이터 분석가,경력,서울,M,0,5,9508
데이터 분석가,경력,서울,S,50,4,8028
퍼포먼스 마케터,경력,경기,S,0,1,4571
고객상담 CS,경력,부산,M,100,3,2785
UI/UX 디자이너,경력,서울,M,100,1,5973
영업 지원,경력,경기,L,50,3,5348
백엔드 개발자,경력,서울,S,50,2,3937
영업 지원,경력,경기,M,0,2,3527
일반사무,경력,서울,M,100,1,3654
백엔드 개발자,신입,서울,S,100,2,3556
퍼포먼스 마케터,경력,서울,S,0,1,3853
프론트엔드 개발자,경력,경기,M,100,5,7260
데이터 엔지니어,신입,인천,S,0,4,3838
데이터 엔지니어,경력,서울,L,100,4,9745
일반사무,신입,서울,M,100,3,2314
데이터 분석가,경력,경기,M,0,5,5730
데이터 분석가,경력,서울,S,50,5,4701
인사 총무,경력,경기,S,0,1,4250
고객상담 CS,경력,서울,M,0,3,2578
데이터 분석가,경력,경기,S,100,3,6811
UI/UX 디자이너,경력,서울,M,0,2,7514
영업 지원,경력,서울,M,50,1,4589
일반사무,경력,서울,S,0,1,3197
데이터 분석가,경력,서울,M,50,5,4897
백엔드 개발자,경력,경기,M,50,4,6718
UI/UX 디자이너,경력,서울,S,100,3,7742
데이터 분석가,경력,경기,S,100,4,7639
고객상담 CS,신입,경기,M,0,2,2000
프론트엔드 개발자,경력,서울,M,0,2,6775
데이터 엔지니어,경력,인천,S,50,3,8307
영업 지원,경력,경기,S,0,3,4817
프론트엔드 개발자,경력,경기,S,100,2,4415
고객상담 CS,신입,서울,M,50,3,2877
데이터 엔지니어,경력,서울,M,50,3,9682
데이터 엔지니어,경력,서울,S,0,5,7450
경리 회계,신입,부산,S,0,1,2206
UI/UX 디자이너,경력,대전,S,0,2,6058
프론트엔드 개발자,경력,서울,M,50,5,5801
데이터 분석가,경력,서울,M,100,2,7857
퍼포먼스 마케터,경력,서울,S,100,1,7153
일반사무,경력,대전,S,0,1,3541
일반사무,경력,서울,M,0,2,3867
데이터 분석가,경력,대전,L,50,3,8907
고객상담 CS,경력,서울,S,50,2,4071
일반사무,신입,서울,L,50,3,3307
데이터 엔지니어,경력,서울,M,50,5,9494
백엔드 개발자,신입,서울,S,100,2,3518
인사 총무,신입,경기,M,50,3,2133
백엔드 개발자,경력,경기,M,100,3,7039
백엔드 개발자,신입,경기,S,50,5,3395
UI/UX 디자이너,신입,인천,M,0,1,4822
일반사무,경력,서울,M,50,2,3274
데이터 엔지니어,경력,경기,M,50,4,8018
백엔드 개발자,경력,부산,M,0,5,4909
영업 지원,경력,서울,M,0,2,4721
퍼포먼스 마케터,경력,서울,L,50,3,5184
데이터 엔지니어,신입,서울,L,50,3,7665
인사 총무,신입,서울,M,50,1,2490
데이터 엔지니어,경력,경기,M,100,3,5899
프론트엔드 개발자,경력,경기,S,100,2,7456
퍼포먼스 마케터,신입,서울,M,50,1,5255
프론트엔드 개발자,경력,부산,M,0,3,6505
고객상담 CS,경력,부산,M,50,3,2266
데이터 엔지니어,경력,인천,M,0,4,6146
프론트엔드 개발자,경력,경기,S,0,5,4960
고객상담 CS,경력,부산,M,50,1,2372
고객상담 CS,경력,서울,M,0,3,3736
데이터 분석가,경력,서울,M,100,5,9143
고객상담 CS,경력,서울,M,100,3,3566
고객상담 CS,경력,서울,M,0,2,3636
고객상담 CS,신입,부산,M,100,1,2065
데이터 엔지니어,신입,서울,M,0,3,4489
경리 회계,경력,서울,M,50,2,3614
UI/UX 디자이너,경력,경기,M,50,2,5710
데이터 엔지니어,경력,경기,M,0,2,9747
퍼포먼스 마케터,신입,경기,M,0,2,4498
퍼포먼스 마케터,경력,경기,M,50,3,5196
퍼포먼스 마케터,경력,서울,L,0,2,5574
백엔드 개발자,경력,서울,M,0,2,8174
고객상담 CS,경력,서울,M,0,3,3390
데이터 분석가,경력,경기,M,50,3,7577
백엔드 개발자,신입,경기,L,50,5,5719
경리 회계,경력,서울,L,0,1,5066
고객상담 CS,경력,경기,S,0,2,3356
프론트엔드 개발자,경력,서울,M,100,5,8748
데이터 엔지니어,경력,경기,S,50,3,6368
퍼포먼스 마케터,신입,인천,M,50,1,2963
데이터 엔지니어,경력,서울,L,50,2,11131
데이터 분석가,경력,서울,L,50,2,9017
일반사무,경력,경기,S,0,1,3511
프론트엔드 개발자,신입,인천,L,50,5,4212
경리 회계,신입,경기,M,50,2,3609
영업 지원,경력,서울,M,50,2,3821
인사 총무,경력,경기,L,100,2,4027
데이터 엔지니어,경력,서울,L,0,4,9275
경리 회계,경력,울산,S,0,2,4091
프론트엔드 개발자,경력,서울,S,50,4,5662
데이터 분석가,신입,서울,M,50,3,5827
UI/UX 디자이너,경력,서울,M,50,2,7181
데이터 분석가,경력,서울,M,50,2,8712
데이터 분석가,경력,경기,S,100,4,8007
인사 총무,경력,서울,M,50,2,4216
데이터 엔지니어,경력,인천,L,0,2,10966
데이터 분석가,경력,서울,S,0,5,6880
데이터 분석가,경력,서울,S,100,3,7376
데이터 엔지니어,신입,서울,S,50,3,5879
백엔드 개발자,경력,대전,S,0,3,6556
데이터 분석가,경력,대구,S,0,5,6605
프론트엔드 개발자,신입,서울,M,50,2,2645
퍼포먼스 마케터,경력,서울,M,50,3,5233
데이터 분석가,경력,서울,M,0,3,9682
데이터 분석가,경력,서울,L,0,2,9841
일반사무,신입,서울,M,50,3,2898
인사 총무,경력,서울,S,50,1,3263
백엔드 개발자,경력,서울,L,0,5,7430
인사 총무,신입,경기,S,0,2,2728
UI/UX 디자이너,신입,서울,L,0,3,5238
데이터 분석가,경력,서울,S,0,4,7594
퍼포먼스 마케터,경력,서울,M,50,2,4939
데이터 엔지니어,경력,서울,M,100,3,8242
UI/UX 디자이너,경력,서울,S,0,1,6608
영업 지원,경력,서울,M,100,3,4465
UI/UX 디자이너,신입,경기,S,0,2,3878
데이터 분석가,신입,서울,L,50,4,5867
데이터 엔지니어,신입,서울,M,0,5,4946
데이터 엔지니어,경력,서울,S,0,3,10176
일반사무,신입,광주,L,50,2,2865
백엔드 개발자,신입,경기,M,100,4,5515
UI/UX 디자이너,신입,서울,L,50,3,4796
UI/UX 디자이너,경력,서울,M,0,1,8257
프론트엔드 개발자,경력,서울,M,50,2,6649
백엔드 개발자,신입,경기,M,100,2,5082
데이터 엔지니어,신입,서울,M,50,4,4030
퍼포먼스 마케터,경력,경기,M,100,3,4599
일반사무,경력,경기,S,50,3,3655
데이터 엔지니어,경력,서울,S,50,3,8185
데이터 분석가,경력,경기,L,100,2,9097
데이터 엔지니어,경력,경기,S,50,5,8654
UI/UX 디자이너,경력,서울,L,50,2,8282
UI/UX 디자이너,경력,인천,M,0,3,6676
데이터 엔지니어,경력,광주,S,0,3,5744
프론트엔드 개발자,경력,대구,S,0,2,3682
인사 총무,경력,경기,M,50,1,4645
프론트엔드 개발자,경력,서울,M,50,2,7667
고객상담 CS,경력,부산,L,50,3,2788
데이터 엔지니어,신입,서울,S,50,3,4688
데이터 분석가,경력,경기,M,50,4,4860
데이터 분석가,신입,서울,S,0,5,2991
백엔드 개발자,신입,경기,M,50,5,3275
인사 총무,신입,서울,S,100,2,2843
영업 지원,경력,대구,M,100,1,3702
백엔드 개발자,경력,서울,L,100,5,9138
데이터 분석가,신입,서울,L,0,2,6269
데이터 분석가,경력,서울,M,0,3,8412
퍼포먼스 마케터,경력,부산,M,100,3,4207
백엔드 개발자,경력,서울,M,0,3,8059
데이터 엔지니어,신입,서울,M,0,4,8112
백엔드 개발자,신입,서울,M,50,4,3545
인사 총무,경력,인천,M,50,2,3473
퍼포먼스 마케터,경력,대구,M,100,3,5832
백엔드 개발자,신입,서울,S,50,5,4589
데이터 엔지니어,경력,경기,M,0,4,6953
데이터 분석가,신입,서울,S,50,2,3804
퍼포먼스 마케터,경력,인천,S,50,3,5743
데이터 엔지니어,신입,서울,S,50,5,5423
데이터 분석가,경력,서울,L,100,4,9262
프론트엔드 개발자,경력,경기,S,0,3,6129
퍼포먼스 마케터,경력,경기,M,50,2,7129
데이터 엔지니어,신입,서울,M,100,4,5090
데이터 엔지니어,신입,서울,M,0,4,5001
퍼포먼스 마케터,신입,서울,S,50,2,3449
데이터 엔지니어,경력,서울,M,0,2,9066
백엔드 개발자,경력,서울,L,100,5,8036
프론트엔드 개발자,신입,경기,S,0,5,3406
백엔드 개발자,경력,울산,M,0,2,5360
영업 지원,신입,서울,S,50,2,3224
백엔드 개발자,경력,경기,L,50,5,7336
UI/UX 디자이너,경력,서울,L,50,2,8419
데이터 엔지니어,신입,서울,M,0,5,5365
UI/UX 디자이너,경력,서울,M,50,2,6280
백엔드 개발자,경력,경기,M,0,5,7739
데이터 분석가,경력,경기,S,100,5,5971
데이터 엔지니어,경력,서울,S,0,5,7592
데이터 엔지니어,경력,경기,M,50,3,10621
퍼포먼스 마케터,경력,서울,M,0,2,5615
데이터 분석가,경력,서울,L,50,2,8776
인사 총무,신입,대구,M,100,1,2227
일반사무,경력,부산,L,50,2,3943
인사 총무,경력,경기,S,0,1,3546
데이터 엔지니어,신입,경기,M,0,5,6082
퍼포먼스 마케터,경력,서울,M,100,1,5343
일반사무,경력,경기,S,50,1,3195
인사 총무,경력,서울,S,50,1,3917
고객상담 CS,경력,울산,M,100,3,2718
UI/UX 디자이너,경력,서울,M,0,3,6379
경리 회계,경력,서울,M,50,1,4232
백엔드 개발자,신입,서울,M,100,5,6700
프론트엔드 개발자,경력,서울,S,50,2,6385
데이터 분석가,경력,대구,M,0,4,8750
프론트엔드 개발자,신입,경기,M,0,2,3576
경리 회계,신입,인천,L,50,1,2540
데이터 분석가,경력,경기,M,0,5,6976
백엔드 개발자,경력,서울,L,50,3,6795
데이터 엔지니어,경력,서울,S,50,2,7856
프론트엔드 개발자,경력,경기,L,0,5,6826
UI/UX 디자이너,신입,서울,L,0,2,4389
백엔드 개발자,경력,서울,M,50,4,8087
백엔드 개발자,신입,서울,M,50,4,5655
퍼포먼스 마케터,경력,부산,M,0,1,5201
데이터 엔지니어,신입,광주,S,100,3,2000
백엔드 개발자,경력,경기,S,50,4,4676
데이터 분석가,경력,서울,S,50,4,4359
프론트엔드 개발자,경력,경기,M,50,4,7021
영업 지원,경력,인천,S,0,2,2588
프론트엔드 개발자,경력,경기,M,100,2,5282
UI/UX 디자이너,경력,경기,S,0,2,6539
백엔드 개발자,경력,서울,M,100,5,6900
백엔드 개발자,경력,경기,M,0,5,7694
인사 총무,경력,경기,M,50,3,4248
인사 총무,경력,경기,M,0,1,3128
영업 지원,경력,서울,M,0,2,4370
인사 총무,경력,경기,L,0,1,3793
인사 총무,경력,경기,M,0,2,3314
UI/UX 디자이너,경력,경기,S,0,2,4865
백엔드 개발자,신입,경기,M,0,4,4130
데이터 엔지니어,경력,서울,M,0,3,9256
데이터 분석가,경력,서울,L,50,5,9661
데이터 분석가,경력,서울,M,100,3,5270
고객상담 CS,경력,서울,L,0,2,4108
고객상담 CS,경력,경기,S,50,3,2428
프론트엔드 개발자,경력,서울,L,0,3,5925
인사 총무,신입,경기,L,0,3,3506
프론트엔드 개발자,경력,울산,S,50,5,4623
인사 총무,신입,부산,L,50,2,2770
프론트엔드 개발자,경력,경기,S,0,5,7002
데이터 분석가,경력,서울,S,50,5,9006
백엔드 개발자,경력,인천,S,100,2,6063
인사 총무,경력,서울,M,100,2,4254
프론트엔드 개발자,경력,경기,S,0,5,5235
백엔드 개발자,신입,대전,S,50,5,3590
퍼포먼스 마케터,경력,서울,M,100,2,6449
데이터 엔지니어,경력,경기,S,50,5,7184
고객상담 CS,신입,서울,L,0,1,2765
경리 회계,경력,대전,M,100,2,3654
퍼포먼스 마케터,신입,경기,M,50,1,4083
데이터 분석가,경력,서울,M,50,4,7652
일반사무,경력,경기,L,0,2,3226
데이터 엔지니어,경력,부산,M,0,4,7133
UI/UX 디자이너,신입,경기,M,0,2,4228
인사 총무,신입,서울,S,100,3,2965
인사 총무,경력,서울,M,50,2,3844
데이터 분석가,경력,서울,M,50,3,6750
데이터 분석가,경력,서울,M,0,4,9535
데이터 분석가,신입,서울,M,0,5,7199
UI/UX 디자이너,경력,서울,S,50,1,5864
데이터 엔지니어,경력,서울,S,0,5,6536
경리 회계,경력,광주,M,0,3,2824
데이터 엔지니어,신입,경기,M,0,4,4553
일반사무,경력,경기,S,0,3,3575
퍼포먼스 마케터,경력,서울,S,50,2,5332
데이터 분석가,경력,서울,M,50,4,7074
일반사무,신입,서울,M,0,1,2565
일반사무,경력,경기,M,50,2,3092
퍼포먼스 마케터,경력,경기,M,0,1,7755
데이터 엔지니어,경력,서울,L,0,5,9490
데이터 분석가,신입,서울,M,50,3,5805
데이터 분석가,경력,서울,M,0,2,5988
UI/UX 디자이너,경력,경기,M,50,1,6930
일반사무,신입,서울,L,0,2,2698
데이터 분석가,신입,경기,S,50,3,5047
데이터 분석가,신입,인천,M,0,3,3508
고객상담 CS,신입,서울,S,0,2,2000
백엔드 개발자,경력,서울,L,0,3,6961
영업 지원,경력,경기,M,50,2,4077
경리 회계,경력,부산,S,50,3,3411
백엔드 개발자,경력,서울,M,50,5,7384
UI/UX 디자이너,신입,서울,S,100,1,3955
프론트엔드 개발자,경력,경기,M,0,5,5141
경리 회계,경력,서울,L,50,2,4047
데이터 분석가,경력,경기,M,0,3,6850
데이터 엔지니어,경력,경기,S,50,5,5489
데이터 엔지니어,경력,서울,M,0,4,7596
데이터 분석가,경력,서울,M,0,4,7528
데이터 분석가,경력,경기,S,50,4,5860
퍼포먼스 마케터,경력,경기,M,50,3,6001
프론트엔드 개발자,경력,서울,M,50,2,7241
영업 지원,경력,서울,M,0,3,5012
일반사무,경력,경기,M,0,1,3612
데이터 분석가,경력,서울,L,0,2,12376
데이터 분석가,경력,경기,S,50,2,7930
고객상담 CS,경력,경기,L,0,2,3366
프론트엔드 개발자,경력,서울,M,0,3,6541
데이터 분석가,경력,경기,M,50,3,9363
UI/UX 디자이너,경력,서울,S,100,2,7059
경리 회계,경력,경기,M,100,2,3850
프론트엔드 개발자,경력,서울,M,100,2,7567
데이터 분석가,경력,서울,L,100,5,8743
데이터 분석가,경력,서울,M,0,4,8954
인사 총무,경력,서울,M,50,1,5431
데이터 분석가,경력,경기,M,0,2,6453
일반사무,경력,경기,M,100,2,3461
프론트엔드 개발자,신입,서울,M,0,3,3204
데이터 엔지니어,경력,서울,M,0,2,8903
인사 총무,경력,서울,L,50,3,4889
경리 회계,신입,서울,M,0,1,2810
데이터 엔지니어,경력,서울,S,0,2,5476
UI/UX 디자이너,경력,서울,M,50,1,6202
일반사무,신입,서울,M,100,2,3387
데이터 분석가,경력,서울,S,0,5,6196
데이터 분석가,신입,인천,L,50,5,7941
백엔드 개발자,경력,서울,L,0,4,8393
UI/UX 디자이너,경력,경기,S,100,3,5302
데이터 엔지니어,경력,서울,S,0,4,6782
프론트엔드 개발자,신입,부산,L,0,2,3362
경리 회계,신입,경기,M,50,3,2887
데이터 엔지니어,경력,인천,L,50,4,7257
퍼포먼스 마케터,경력,서울,M,100,3,5012
데이터 엔지니어,경력,경기,M,100,2,8630
데이터 엔지니어,신입,경기,S,50,5,6152
데이터 분석가,신입,서울,M,0,3,5321
데이터 분석가,경력,대전,M,50,5,8446
프론트엔드 개발자,신입,경기,M,0,5,4805
UI/UX 디자이너,경력,서울,L,50,2,8065
데이터 엔지니어,신입,서울,S,50,4,5377
일반사무,신입,경기,M,0,1,2189
경리 회계,신입,대구,M,0,3,2000
데이터 분석가,경력,경기,M,100,5,9174
퍼포먼스 마케터,신입,서울,S,50,2,3935
영업 지원,경력,광주,M,50,1,3115
고객상담 CS,경력,경기,L,50,1,3982
데이터 분석가,경력,경기,L,0,5,7474
고객상담 CS,경력,서울,L,50,2,4072
백엔드 개발자,경력,울산,S,50,5,6989
백엔드 개발자,경력,인천,M,50,4,6837
백엔드 개발자,경력,서울,S,0,3,8280
데이터 엔지니어,신입,서울,S,0,2,3060
퍼포먼스 마케터,신입,경기,M,100,3,3650
데이터 분석가,경력,서울,M,100,4,9277
데이터 엔지니어,경력,서울,M,50,2,10009
백엔드 개발자,경력,경기,S,0,3,5433
영업 지원,경력,서울,M,50,1,4358
데이터 엔지니어,경력,경기,S,0,3,7105
UI/UX 디자이너,경력,경기,M,50,3,7002
프론트엔드 개발자,신입,울산,S,0,3,3510
프론트엔드 개발자,경력,광주,S,0,2,7263
데이터 엔지니어,신입,대전,M,0,3,4148
프론트엔드 개발자,경력,서울,L,50,3,6378
백엔드 개발자,신입,부산,S,50,5,5381
UI/UX 디자이너,경력,대전,L,50,2,7809
프론트엔드 개발자,경력,서울,M,50,2,8206
데이터 엔지니어,신입,서울,S,100,2,5757
백엔드 개발자,경력,서울,L,100,2,7400
UI/UX 디자이너,경력,서울,S,100,1,8126
영업 지원,경력,서울,S,100,3,3267
데이터 엔지니어,경력,경기,L,0,4,9738
데이터 분석가,경력,경기,M,50,3,8724
백엔드 개발자,경력,대전,S,50,4,3654
경리 회계,경력,경기,M,0,3,4809
인사 총무,신입,서울,M,50,3,3171
데이터 분석가,경력,경기,L,100,4,7422
일반사무,신입,서울,S,100,1,2000
데이터 엔지니어,신입,서울,S,50,2,6131
프론트엔드 개발자,신입,서울,M,0,5,2733
데이터 엔지니어,경력,경기,S,100,3,7397
데이터 분석가,경력,부산,S,50,2,6581
데이터 분석가,신입,서울,M,50,5,6200
고객상담 CS,경력,서울,S,50,2,3291
데이터 분석가,신입,서울,S,50,5,5372
퍼포먼스 마케터,신입,경기,S,0,3,2556
